[1787745514.010] [NODE_INIT] Pose(map): (0.000, 0.000, 0.000°) | IMU_Yaw: 0.000° | ArucoLock: NO (ID: -1) | Aruco Corridor Navigator with Blackbox Diagnostic Logging Initialized.
[1787745536.998] [ROUTE_START] Pose(map): (1.339, 2.479, 177.688°) | IMU_Yaw: -1.954° | ArucoLock: NO (ID: 4) | Starting route to Marker 0 (via 4, 3, 2, 1)
[1787745537.029] [STEP_START] Pose(map): (1.339, 2.479, 177.688°) | IMU_Yaw: -1.954° | ArucoLock: NO (ID: 4) | Starting Step 1/7: Drive straight to Marker 4 (top hallway)
[1787745542.559] [NAV_PROXIMITY_ARRIVED] Pose(map): (0.273, 2.501, 179.727°) | IMU_Yaw: 4.229° | ArucoLock: YES (ID: 4) | Arrived near waypoint (dist=0.272688m, elapsed=5.529952s). Advancing.
[1787745542.614] [STEP_START] Pose(map): (0.274, 2.501, -179.595°) | IMU_Yaw: 4.229° | ArucoLock: YES (ID: 4) | Starting Step 2/7: In-place turn 90 deg at Marker 4 (facing Marker 3)
[1787745542.646] [ROTATE_INIT] Pose(map): (0.272, 2.500, -179.595°) | IMU_Yaw: 4.229° | ArucoLock: YES (ID: 4) | Target IMU Yaw: 94.2294° (Delta: 90°)
[1787745542.673] [NAV_RETRY] Pose(map): (0.266, 2.500, -179.595°) | IMU_Yaw: 4.208° | ArucoLock: YES (ID: 4) | Retrying Nav2 goal (trial 1/2)...
[1787745548.109] [ROTATE_DONE] Pose(map): (0.338, 2.473, -72.059°) | IMU_Yaw: 92.387° | ArucoLock: YES (ID: 3) | In-place 90 deg rotation completed stably.
[1787745548.151] [STEP_START] Pose(map): (0.338, 2.473, -72.024°) | IMU_Yaw: 92.387° | ArucoLock: YES (ID: 3) | Starting Step 3/7: Verify Marker 3 in view
[1787745548.183] [MARKER_LOCKED] Pose(map): (0.338, 2.473, -72.024°) | IMU_Yaw: 92.387° | ArucoLock: YES (ID: 3) | Successfully verified ArUco marker 3
[1787745548.207] [STEP_START] Pose(map): (0.338, 2.473, -70.972°) | IMU_Yaw: 92.387° | ArucoLock: YES (ID: 3) | Starting Step 4/7: Drive straight to Marker 1 (vertical hallway via 3, 2)
[1787745548.239] [NAV_RETRY] Pose(map): (0.338, 2.473, -69.678°) | IMU_Yaw: 92.860° | ArucoLock: YES (ID: 3) | Retrying Nav2 goal (trial 1/2)...
[1787745548.269] [NAV_RETRY] Pose(map): (0.338, 2.473, -69.078°) | IMU_Yaw: 92.959° | ArucoLock: YES (ID: 3) | Retrying Nav2 goal (trial 2/2)...
[1787745548.299] [NAV_FAILED] Pose(map): (0.338, 2.473, -67.192°) | IMU_Yaw: 93.027° | ArucoLock: YES (ID: 3) | Nav2 straight navigation failed after retries.
